transaction_id,timestamp,description,amount,currency,transaction_type,source
b88c26c6-9e0e-465c-8190-625b23e6cb1c,2024-01-15T10:30:00,咖啡店消费,25.5,CNY,expense,wechat
bdd816a0-6d90-4590-8a71-9af3ef56ef51,2024-01-15T14:20:00,午餐外卖,42.0,CNY,expense,wechat
09cbb7f0-e06a-44d8-9304-5eab7a70b9d8,2024-01-16T09:15:00,公交卡充值,100.0,CNY,expense,wechat
49a2fe6c-5e69-45cc-9d28-d2a36f369456,2024-01-16T18:30:00,朋友转账,200.0,CNY,income,wechat
43bb8bdf-ca67-4a4e-b1ca-029781308326,2024-01-17T11:45:00,超市购物,156.8,CNY,expense,wechat
16b6e276-b2d9-4a0b-bf98-c1952a11056d,2024-01-20T09:00:00,星巴克,35.0,CNY,income,alipay
5fde871c-7cd0-4bfa-9c37-3c1a5454cb54,2024-01-20T12:30:00,美团外卖,28.5,CNY,income,alipay
dd863fa1-c425-4733-8546-2daaf61335a6,2024-01-21T15:45:00,工资到账,5000.0,CNY,income,alipay
65899618-1100-4dde-bd06-f12648b3fbc6,2024-01-22T08:20:00,地铁刷卡,6.0,CNY,income,alipay
346df89a-5381-4f63-a2d7-3b1266ee5cc8,2024-01-22T19:30:00,网购退款,85.0,CNY,income,alipay
